Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name
7,"M1,M2",KU289739,Yes,1027,H7N3,02/18/2010,IRD:American Black Duck/Avian,USA,Delaware,09-10,A/American black duck/Delaware/A00870108/2010
5,NP,KU289741,Yes,1540,H7N3,02/18/2010,IRD:American Black Duck/Avian,USA,Delaware,09-10,A/American black duck/Delaware/A00870108/2010
8,"NS1,NS2",KU289742,Yes,865,H7N3,02/18/2010,IRD:American Black Duck/Avian,USA,Delaware,09-10,A/American black duck/Delaware/A00870108/2010
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",KU289743,Yes,2208,H7N3,02/18/2010,IRD:American Black Duck/Avian,USA,Delaware,09-10,A/American black duck/Delaware/A00870108/2010
1,PB2,KU289745,Yes,2307,H7N3,02/18/2010,IRD:American Black Duck/Avian,USA,Delaware,09-10,A/American black duck/Delaware/A00870108/2010
4,HA,KU289738,Yes,1706,H7N3,02/18/2010,IRD:American Black Duck/Avian,USA,Delaware,09-10,A/American black duck/Delaware/A00870108/2010
6,NA,KU289740,Yes,1428,H7N3,02/18/2010,IRD:American Black Duck/Avian,USA,Delaware,09-10,A/American black duck/Delaware/A00870108/2010
2,"PB1,PB1-F2,PB1-N40",KU289744,Yes,2316,H7N3,02/18/2010,IRD:American Black Duck/Avian,USA,Delaware,09-10,A/American black duck/Delaware/A00870108/2010
1,PB2,CY079459,Yes,2307,H5N2,10/26/2008,IRD:American Black Duck/Avian,USA,Illinois,08-09,A/American black duck/Illinois/08OS2688/2008(H5N2)
8,"NS1,NS2",CY079456,Yes,852,H5N2,10/26/2008,IRD:American Black Duck/Avian,USA,Illinois,08-09,A/American black duck/Illinois/08OS2688/2008(H5N2)
6,NA,CY079454,Yes,1446,H5N2,10/26/2008,IRD:American Black Duck/Avian,USA,Illinois,08-09,A/American black duck/Illinois/08OS2688/2008(H5N2)
2,"PB1,PB1-F2,PB1-N40",CY079458,Yes,2316,H5N2,10/26/2008,IRD:American Black Duck/Avian,USA,Illinois,08-09,A/American black duck/Illinois/08OS2688/2008(H5N2)
7,"M1,M2",CY079453,Yes,1002,H5N2,10/26/2008,IRD:American Black Duck/Avian,USA,Illinois,08-09,A/American black duck/Illinois/08OS2688/2008(H5N2)
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY079457,Yes,2208,H5N2,10/26/2008,IRD:American Black Duck/Avian,USA,Illinois,08-09,A/American black duck/Illinois/08OS2688/2008(H5N2)
5,NP,CY079455,Yes,1540,H5N2,10/26/2008,IRD:American Black Duck/Avian,USA,Illinois,08-09,A/American black duck/Illinois/08OS2688/2008(H5N2)
4,HA,CY079452,Yes,1742,H5N2,10/26/2008,IRD:American Black Duck/Avian,USA,Illinois,08-09,A/American black duck/Illinois/08OS2688/2008(H5N2)
4,HA,CY097534,Yes,1719,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,09-10,A/American black duck/Illinois/4119/2009(H8N4)
2,"PB1,PB1-F2,PB1-N40",CY097540,Yes,2316,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,09-10,A/American black duck/Illinois/4119/2009(H8N4)
7,"M1,M2",CY097535,Yes,990,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,09-10,A/American black duck/Illinois/4119/2009(H8N4)
1,PB2,CY097541,Yes,2316,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,09-10,A/American black duck/Illinois/4119/2009(H8N4)
5,NP,CY097537,Yes,1541,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,09-10,A/American black duck/Illinois/4119/2009(H8N4)
6,NA,CY097536,Yes,1437,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,09-10,A/American black duck/Illinois/4119/2009(H8N4)
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY097539,Yes,2201,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,09-10,A/American black duck/Illinois/4119/2009(H8N4)
8,"NS1,NS2",CY097538,Yes,865,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,09-10,A/American black duck/Illinois/4119/2009(H8N4)
1,PB2,KP636475,Yes,2280,H3N8,2008,IRD:American Black Duck/Avian,USA,Maine,-N/A-,A/American black duck/Maine/44411/532/2008
5,NP,KP636479,Yes,1497,H3N8,2008,IRD:American Black Duck/Avian,USA,Maine,-N/A-,A/American black duck/Maine/44411/532/2008
2,"PB1,PB1-F2,PB1-N40",KP636476,Yes,2274,H3N8,2008,IRD:American Black Duck/Avian,USA,Maine,-N/A-,A/American black duck/Maine/44411/532/2008
4,HA,KP636478,Yes,1701,H3N8,2008,IRD:American Black Duck/Avian,USA,Maine,-N/A-,A/American black duck/Maine/44411/532/2008
6,NA,KP636480,Yes,1413,H3N8,2008,IRD:American Black Duck/Avian,USA,Maine,-N/A-,A/American black duck/Maine/44411/532/2008
7,"M1,M2",KP636481,Yes,982,H3N8,2008,IRD:American Black Duck/Avian,USA,Maine,-N/A-,A/American black duck/Maine/44411/532/2008
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",KP636477,Yes,2151,H3N8,2008,IRD:American Black Duck/Avian,USA,Maine,-N/A-,A/American black duck/Maine/44411/532/2008
8,"NS1,NS2",KP636482,Yes,838,H3N8,2008,IRD:American Black Duck/Avian,USA,Maine,-N/A-,A/American black duck/Maine/44411/532/2008
5,NP,CY190590,Yes,1540,H6N8,12/29/2007,IRD:American Black Duck/Avian,USA,Maryland,07-08,A/American black duck/Maryland/07OS2482/2007
7,"M1,M2",CY190588,Yes,1002,H6N8,12/29/2007,IRD:American Black Duck/Avian,USA,Maryland,07-08,A/American black duck/Maryland/07OS2482/2007
4,HA,CY190587,Yes,1719,H6N8,12/29/2007,IRD:American Black Duck/Avian,USA,Maryland,07-08,A/American black duck/Maryland/07OS2482/2007
6,NA,CY190589,Yes,1435,H6N8,12/29/2007,IRD:American Black Duck/Avian,USA,Maryland,07-08,A/American black duck/Maryland/07OS2482/2007
2,"PB1,PB1-F2,PB1-N40",CY190593,Yes,2316,H6N8,12/29/2007,IRD:American Black Duck/Avian,USA,Maryland,07-08,A/American black duck/Maryland/07OS2482/2007
8,"NS1,NS2",CY190591,Yes,865,H6N8,12/29/2007,IRD:American Black Duck/Avian,USA,Maryland,07-08,A/American black duck/Maryland/07OS2482/2007
3,"PA,PA-N155,PA-X protein(+61)",CY190592,Yes,2208,H6N8,12/29/2007,IRD:American Black Duck/Avian,USA,Maryland,07-08,A/American black duck/Maryland/07OS2482/2007
1,PB2,CY190594,Yes,2316,H6N8,12/29/2007,IRD:American Black Duck/Avian,USA,Maryland,07-08,A/American black duck/Maryland/07OS2482/2007
5,NP,CY190686,Yes,1540,H8N4,11/25/2008,IRD:American Black Duck/Avian,USA,Maryland,08-09,A/American black duck/Maryland/08OS1725/2008
4,HA,CY190683,Yes,1719,H8N4,11/25/2008,IRD:American Black Duck/Avian,USA,Maryland,08-09,A/American black duck/Maryland/08OS1725/2008
7,"M1,M2",CY190684,Yes,1002,H8N4,11/25/2008,IRD:American Black Duck/Avian,USA,Maryland,08-09,A/American black duck/Maryland/08OS1725/2008
8,"NS1,NS2",CY190687,Yes,865,H8N4,11/25/2008,IRD:American Black Duck/Avian,USA,Maryland,08-09,A/American black duck/Maryland/08OS1725/2008
1,PB2,CY190690,Yes,2316,H8N4,11/25/2008,IRD:American Black Duck/Avian,USA,Maryland,08-09,A/American black duck/Maryland/08OS1725/2008
2,"PB1,PB1-F2,PB1-N40",CY190689,Yes,2316,H8N4,11/25/2008,IRD:American Black Duck/Avian,USA,Maryland,08-09,A/American black duck/Maryland/08OS1725/2008
6,NA,CY190685,Yes,1437,H8N4,11/25/2008,IRD:American Black Duck/Avian,USA,Maryland,08-09,A/American black duck/Maryland/08OS1725/2008
