,Collection Date,Complete Genome,Country,Flu Season,Host Species,Protein Name,Segment,Segment Length,Sequence Accession,State/Province,Strain Name,Subtype
0,2010-02-18,Yes,USA,09-10,American Black Duck,M,7,1027,A/American_black_duck/Delaware/A00870108/2010|M,Delaware,A/American_black_duck/Delaware/A00870108/2010,H7N3
1,2010-02-18,Yes,USA,09-10,American Black Duck,NP,5,1540,A/American_black_duck/Delaware/A00870108/2010|NP,Delaware,A/American_black_duck/Delaware/A00870108/2010,H7N3
2,2010-02-18,Yes,USA,09-10,American Black Duck,NS,8,865,A/American_black_duck/Delaware/A00870108/2010|NS,Delaware,A/American_black_duck/Delaware/A00870108/2010,H7N3
3,2010-02-18,Yes,USA,09-10,American Black Duck,PA,3,2208,A/American_black_duck/Delaware/A00870108/2010|PA,Delaware,A/American_black_duck/Delaware/A00870108/2010,H7N3
4,2010-02-18,Yes,USA,09-10,American Black Duck,PB2,1,2307,A/American_black_duck/Delaware/A00870108/2010|PB2,Delaware,A/American_black_duck/Delaware/A00870108/2010,H7N3
5,2010-02-18,Yes,USA,09-10,American Black Duck,HA,4,1706,A/American_black_duck/Delaware/A00870108/2010|HA,Delaware,A/American_black_duck/Delaware/A00870108/2010,H7N3
6,2010-02-18,Yes,USA,09-10,American Black Duck,NA,6,1428,A/American_black_duck/Delaware/A00870108/2010|NA,Delaware,A/American_black_duck/Delaware/A00870108/2010,H7N3
7,2010-02-18,Yes,USA,09-10,American Black Duck,PB1,2,2316,A/American_black_duck/Delaware/A00870108/2010|PB1,Delaware,A/American_black_duck/Delaware/A00870108/2010,H7N3
8,2008-10-26,Yes,USA,08-09,American Black Duck,PB2,1,2307,A/American_black_duck/Illinois/08OS2688/2008|PB2,Illinois,A/American_black_duck/Illinois/08OS2688/2008,H5N2
9,2008-10-26,Yes,USA,08-09,American Black Duck,NS,8,852,A/American_black_duck/Illinois/08OS2688/2008|NS,Illinois,A/American_black_duck/Illinois/08OS2688/2008,H5N2
10,2008-10-26,Yes,USA,08-09,American Black Duck,NA,6,1446,A/American_black_duck/Illinois/08OS2688/2008|NA,Illinois,A/American_black_duck/Illinois/08OS2688/2008,H5N2
